,original,modified,size
0,left ventricular dysfunction,leftventriculardysfunction,3
1,adhd,adhd,1
2,birth control,birthcontrol,2
4,opiate dependence,opiatedependence,2
5,benign prostatic hyperplasia,benignprostatichyperplasia,3
6,emergency contraception,emergencycontraception,2
7,bipolar disorde,bipolardisorde,2
8,epilepsy,epilepsy,1
10,migraine prevention,migraineprevention,2
11,depression,depression,1
12,crohn's disease,crohn'sdisease,2
13,cough,cough,1
15,obesity,obesity,1
16,urinary tract infection,urinarytractinfection,3
17,ibromyalgia,ibromyalgia,1
19,chronic myelogenous leukemia,chronicmyelogenousleukemia,3
20,hiv infection,hivinfection,2
21,insomnia,insomnia,1
23,rheumatoid arthritis,rheumatoidarthritis,2
24,vaginal yeast infection,vaginalyeastinfection,3
25,chlamydia infection,chlamydiainfection,2
26,hirsutism,hirsutism,1
28,panic disorde,panicdisorde,2
29,migraine,migraine,1
31,pain,pain,1
33,irritable bowel syndrome,irritablebowelsyndrome,3
34,osteoarthritis,osteoarthritis,1
35,constipation,constipation,1
37,bowel preparation,bowelpreparation,2
38,psychosis,psychosis,1
42,muscle spasm,musclespasm,2
44,hepatitis c,hepatitisc,2
47,overactive bladde,overactivebladde,2
49,"diabetes, type 2","diabetes,type2",3
52,"asthma, maintenance","asthma,maintenance",2
53,non-small cell lung cance,non-smallcelllungcance,4
54,schizophrenia,schizophrenia,1
55,dysuria,dysuria,1
57,smoking cessation,smokingcessation,2
59,anxiety,anxiety,1
65,acne,acne,1
70,emale infertility,emaleinfertility,2
71,"constipation, acute","constipation,acute",2
72,"constipation, drug induced","constipation,druginduced",3
75,erectile dysfunction,erectiledysfunction,2
79,trigeminal neuralgia,trigeminalneuralgia,2
84,underactive thyroid,underactivethyroid,2
86,chronic pain,chronicpain,2
88,atrophic vaginitis,atrophicvaginitis,2
90,skin and structure infection,skinandstructureinfection,4
93,tinnitus,tinnitus,1
94,major depressive disorde,majordepressivedisorde,3
98,anxiety and stress,anxietyandstress,3
102,rosacea,rosacea,1
103,high blood pressure,highbloodpressure,3
108,restless legs syndrome,restlesslegssyndrome,3
109,osteolytic bone metastases of solid tumors,osteolyticbonemetastasesofsolidtumors,6
117,bronchitis,bronchitis,1
119,skin or soft tissue infection,skinorsofttissueinfection,5
123,obsessive compulsive disorde,obsessivecompulsivedisorde,3
124,endometriosis,endometriosis,1
130,keratoconjunctivitis sicca,keratoconjunctivitissicca,2
134,breakthrough pain,breakthroughpain,2
143,seizures,seizures,1
146,neuropathic pain,neuropathicpain,2
148,sedation,sedation,1
153,menstrual disorders,menstrualdisorders,2
156,allergic rhinitis,allergicrhinitis,2
161,anesthesia,anesthesia,1
163,undifferentiated connective tissue disease,undifferentiatedconnectivetissuedisease,4
165,"diabetes, type 1","diabetes,type1",3
173,abnormal uterine bleeding,abnormaluterinebleeding,3
175,weight loss,weightloss,2
176,"constipation, chronic","constipation,chronic",2
178,"breast cancer, metastatic","breastcancer,metastatic",3
185,period pain,periodpain,2
186,helicobacter pylori infection,helicobacterpyloriinfection,3
188,atrial fibrillation,atrialfibrillation,2
192,uterine fibroids,uterinefibroids,2
196,kidney infections,kidneyinfections,2
199,generalized anxiety disorde,generalizedanxietydisorde,3
200,asthma,asthma,1
202,postmenopausal symptoms,postmenopausalsymptoms,2
203,high cholesterol,highcholesterol,2
205,"hypogonadism, male","hypogonadism,male",2
213,hyperthyroidism,hyperthyroidism,1
216,back pain,backpain,2
227,anaplastic oligodendroglioma,anaplasticoligodendroglioma,2
232,sjogren's syndrome,sjogren'ssyndrome,2
234,"asthma, acute","asthma,acute",2
236,hot flashes,hotflashes,2
239,"herpes simplex, suppression","herpessimplex,suppression",3
240,bacterial infection,bacterialinfection,2
243,bursitis,bursitis,1
254,diaper rash,diaperrash,2
259,systemic mastocytosis,systemicmastocytosis,2
267,trichotillomania,trichotillomania,1
271,hashimoto's disease,hashimoto'sdisease,2
283,eczema,eczema,1
295,dental abscess,dentalabscess,2
297,headache,headache,1
300,hypersomnia,hypersomnia,1
306,xerostomia,xerostomia,1
311,breast cance,breastcance,2
313,sore throat,sorethroat,2
322,barrett's esophagus,barrett'sesophagus,2
329,pain/feve,pain/feve,1
339,diverticulitis,diverticulitis,1
341,sinusitis,sinusitis,1
345,polycystic ovary syndrome,polycysticovarysyndrome,3
354,influenza,influenza,1
359,"hypothyroidism, after thyroid removal","hypothyroidism,afterthyroidremoval",4
364,"onychomycosis, toenail","onychomycosis,toenail",2
375,progesterone insufficiency,progesteroneinsufficiency,2
386,gerd,gerd,1
395,"nausea/vomiting, postoperative","nausea/vomiting,postoperative",2
399,herpes simplex,herpessimplex,2
405,gastroparesis,gastroparesis,1
406,"gout, acute","gout,acute",2
408,motion sickness,motionsickness,2
411,multiple sclerosis,multiplesclerosis,2
446,autism,autism,1
449,otitis media,otitismedia,2
451,upper respiratory tract infection,upperrespiratorytractinfection,4
466,surgical prophylaxis,surgicalprophylaxis,2
468,psoriatic arthritis,psoriaticarthritis,2
469,erosive esophagitis,erosiveesophagitis,2
476,premature ventricular depolarizations,prematureventriculardepolarizations,3
477,stomach ulce,stomachulce,2
481,nausea/vomiting,nausea/vomiting,1
482,light anesthesia,lightanesthesia,2
502,angina pectoris prophylaxis,anginapectorisprophylaxis,3
513,paranoid disorde,paranoiddisorde,2
527,prostatitis,prostatitis,1
532,extrapyramidal reaction,extrapyramidalreaction,2
543,mance anxiety,manceanxiety,2
548,night terrors,nightterrors,2
551,"high cholesterol, familial heterozygous","highcholesterol,familialheterozygous",4
585,spondyloarthritis,spondyloarthritis,1
586,clostridial infection,clostridialinfection,2
593,dermatomyositis,dermatomyositis,1
596,bronchiectasis,bronchiectasis,1
607,nasal congestion,nasalcongestion,2
611,benign essential trem,benignessentialtrem,3
613,angina,angina,1
625,moterol / mometasone),moterol/mometasone),3
638,impetig,impetig,1
642,"conjunctivitis, bacterial","conjunctivitis,bacterial",2
650,post traumatic stress disorde,posttraumaticstressdisorde,4
656,alcohol withdrawal,alcoholwithdrawal,2
658,psoriasis,psoriasis,1
659,cold sores,coldsores,2
662,hyperhidrosis,hyperhidrosis,1
668,ankylosing spondylitis,ankylosingspondylitis,2
670,hemorrhoids,hemorrhoids,1
687,schizoaffective disorde,schizoaffectivedisorde,2
698,not listed / othe,notlisted/othe,4
699,rhinitis,rhinitis,1
714,oral thrush,oralthrush,2
719,hyperlipoproteinemia,hyperlipoproteinemia,1
721,neutropenia associated with chemotherapy,neutropeniaassociatedwithchemotherapy,4
735,osteoporosis,osteoporosis,1
761,reflex sympathetic dystrophy syndrome,reflexsympatheticdystrophysyndrome,4
785,urticaria,urticaria,1
806,narcolepsy,narcolepsy,1
807,systemic lupus erythematosus,systemiclupuserythematosus,3
808,ulcerative colitis,ulcerativecolitis,2
812,adult human growth hormone deficiency,adulthumangrowthhormonedeficiency,5
850,bacterial vaginitis,bacterialvaginitis,2
855,"copd, maintenance","copd,maintenance",2
860,anorexia,anorexia,1
878,tsh suppression,tshsuppression,2
889,"breast cancer, adjuvant","breastcancer,adjuvant",3
907,glaucoma,glaucoma,1
909,cough and nasal congestion,coughandnasalcongestion,4
913,inflammatory conditions,inflammatoryconditions,2
925,urinary incontinence,urinaryincontinence,2
931,gout,gout,1
941,bladder infection,bladderinfection,2
947,human papillomavirus prophylaxis,humanpapillomavirusprophylaxis,3
948,glioblastoma multiforme,glioblastomamultiforme,2
986,strep throat,strepthroat,2
1002,bacterial skin infection,bacterialskininfection,3
1004,hereditary angioedema,hereditaryangioedema,2
1006,cold symptoms,coldsymptoms,2
1015,labor pain,laborpain,2
1022,dry skin,dryskin,2
1025,diabetes insipidus,diabetesinsipidus,2
1043,methicillin-resistant staphylococcus aureus infection,methicillin-resistantstaphylococcusaureusinfection,4
1055,borderline personality disorde,borderlinepersonalitydisorde,3
1059,amenorrhea,amenorrhea,1
